date,name,product,amount
2019-01-01,서천군수산업협동조합,멸치,134464
2019-01-02,서천군수산업협동조합,멸치,135987
2019-01-03,서천군수산업협동조합,멸치,135143
2019-01-04,서천군수산업협동조합,멸치,135123
2019-01-05,서천군수산업협동조합,멸치,135892
2019-01-06,서천군수산업협동조합,멸치,135892
2019-01-07,서천군수산업협동조합,멸치,136027
2019-01-08,서천군수산업협동조합,멸치,132686
2019-01-09,서천군수산업협동조합,멸치,132569
2019-01-10,서천군수산업협동조합,멸치,132553
2019-01-11,서천군수산업협동조합,멸치,131586
2019-01-12,서천군수산업협동조합,멸치,132575
2019-01-13,서천군수산업협동조합,멸치,132575
2019-01-14,서천군수산업협동조합,멸치,135800
2019-01-15,서천군수산업협동조합,멸치,135800
2019-01-16,서천군수산업협동조합,멸치,132257
2019-01-17,서천군수산업협동조합,멸치,131614
2019-01-18,서천군수산업협동조합,멸치,131596
2019-01-19,서천군수산업협동조합,멸치,131596
2019-01-20,서천군수산업협동조합,멸치,131596
2019-01-21,서천군수산업협동조합,멸치,130765
2019-01-22,서천군수산업협동조합,멸치,127714
2019-01-23,서천군수산업협동조합,멸치,126399
2019-01-24,서천군수산업협동조합,멸치,125969
2019-01-25,서천군수산업협동조합,멸치,125660
2019-01-26,서천군수산업협동조합,멸치,125660
2019-01-27,서천군수산업협동조합,멸치,125660
2019-01-28,서천군수산업협동조합,멸치,125061
2019-01-29,서천군수산업협동조합,멸치,125061
2019-01-30,서천군수산업협동조합,멸치,124903
2019-01-31,서천군수산업협동조합,멸치,124666
2019-02-01,서천군수산업협동조합,멸치,122925
2019-02-02,서천군수산업협동조합,멸치,122925
2019-02-03,서천군수산업협동조합,멸치,122925
2019-02-04,서천군수산업협동조합,멸치,122925
2019-02-05,서천군수산업협동조합,멸치,122925
2019-02-06,서천군수산업협동조합,멸치,122925
2019-02-07,서천군수산업협동조합,멸치,122525
2019-02-08,서천군수산업협동조합,멸치,122525
2019-02-09,서천군수산업협동조합,멸치,122525
2019-02-10,서천군수산업협동조합,멸치,122525
2019-02-11,서천군수산업협동조합,멸치,122241
2019-02-12,서천군수산업협동조합,멸치,122241
2019-02-13,서천군수산업협동조합,멸치,122241
2019-02-14,서천군수산업협동조합,멸치,121230
2019-02-15,서천군수산업협동조합,멸치,121230
2019-02-16,서천군수산업협동조합,멸치,121278
2019-02-17,서천군수산업협동조합,멸치,121278
2019-02-18,서천군수산업협동조합,멸치,121278
2019-02-19,서천군수산업협동조합,멸치,120878
2019-02-20,서천군수산업협동조합,멸치,120212
2019-02-21,서천군수산업협동조합,멸치,120212
2019-02-22,서천군수산업협동조합,멸치,120212
2019-02-23,서천군수산업협동조합,멸치,118640
2019-02-24,서천군수산업협동조합,멸치,118640
2019-02-25,서천군수산업협동조합,멸치,118640
2019-02-26,서천군수산업협동조합,멸치,115856
2019-02-27,서천군수산업협동조합,멸치,115856
2019-02-28,서천군수산업협동조합,멸치,114782
2019-03-01,서천군수산업협동조합,멸치,114782
2019-03-02,서천군수산업협동조합,멸치,112923
2019-03-03,서천군수산업협동조합,멸치,112923
2019-03-04,서천군수산업협동조합,멸치,112305
2019-03-05,서천군수산업협동조합,멸치,110412
2019-03-06,서천군수산업협동조합,멸치,110182
2019-03-07,서천군수산업협동조합,멸치,109082
2019-03-08,서천군수산업협동조합,멸치,109082
2019-03-09,서천군수산업협동조합,멸치,109080
2019-03-10,서천군수산업협동조합,멸치,109080
2019-03-11,서천군수산업협동조합,멸치,106256
2019-03-12,서천군수산업협동조합,멸치,106256
2019-03-13,서천군수산업협동조합,멸치,104747
2019-03-14,서천군수산업협동조합,멸치,104747
2019-03-15,서천군수산업협동조합,멸치,104004
2019-03-16,서천군수산업협동조합,멸치,104004
2019-03-17,서천군수산업협동조합,멸치,104004
2019-03-18,서천군수산업협동조합,멸치,103598
2019-03-19,서천군수산업협동조합,멸치,103370
2019-03-20,서천군수산업협동조합,멸치,103370
2019-03-21,서천군수산업협동조합,멸치,102717
2019-03-22,서천군수산업협동조합,멸치,102558
2019-03-23,서천군수산업협동조합,멸치,102558
2019-03-24,서천군수산업협동조합,멸치,102558
2019-03-25,서천군수산업협동조합,멸치,102300
2019-03-26,서천군수산업협동조합,멸치,99199
2019-03-27,서천군수산업협동조합,멸치,99199
2019-03-28,서천군수산업협동조합,멸치,97703
2019-03-29,서천군수산업협동조합,멸치,97275
2019-03-30,서천군수산업협동조합,멸치,97275
2019-03-31,서천군수산업협동조합,멸치,97275
2019-04-01,서천군수산업협동조합,멸치,96677
2019-04-02,서천군수산업협동조합,멸치,95137
2019-04-03,서천군수산업협동조합,멸치,93683
2019-04-04,서천군수산업협동조합,멸치,93683
2019-04-05,서천군수산업협동조합,멸치,93563
2019-04-06,서천군수산업협동조합,멸치,93507
2019-04-07,서천군수산업협동조합,멸치,93507
